task,caseid,user,LogType,elementId,processId,resourceId,end_timestamp,start_timestamp
S,1453,DEF-000001,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T00:26:08.945,2020-12-23T00:21:17.792
T,1453,DEF-000001,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T00:34:01.694,2020-12-23T00:26:08.945
I,1453,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T00:35:01.694,2020-12-23T00:34:01.694
J,1453,ABC-000001,MXML.EnactmentLog,Task_17qz3y7,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T00:42:32.899,2020-12-23T00:35:01.694
K,1453,ABC-000001,MXML.EnactmentLog,Task_19qrdf3,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T00:42:34.899,2020-12-23T00:42:32.899
N,1453,ABC-000001,MXML.EnactmentLog,Task_1k76one,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T00:49:47.737,2020-12-23T00:42:34.899
Y,1453,JKL-000003,MXML.EnactmentLog,Task_1n1wfe0,Process_1,qbp_9e01c3e7-c984-422e-8d68-fa0e168e5af5,2020-12-23T01:00:33.869,2020-12-23T00:49:47.737
Z,1453,JKL-000001,MXML.EnactmentLog,Task_0t0yzbp,Process_1,qbp_9e01c3e7-c984-422e-8d68-fa0e168e5af5,2020-12-23T01:26:35.019,2020-12-23T01:00:33.869
AA,1453,JKL-000002,MXML.EnactmentLog,Task_06c1top,Process_1,qbp_9e01c3e7-c984-422e-8d68-fa0e168e5af5,2020-12-23T01:26:48.590,2020-12-23T01:26:35.019
R,1453,DEF-000001,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T02:24:24.170,2020-12-23T01:26:48.590
S,1453,DEF-000002,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T02:39:16.729,2020-12-23T02:24:24.170
T,1453,DEF-000001,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T02:45:23.962,2020-12-23T02:39:16.729
I,1453,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T02:46:23.962,2020-12-23T02:45:23.962
J,1453,ABC-000001,MXML.EnactmentLog,Task_17qz3y7,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T02:50:32.587,2020-12-23T02:46:23.962
K,1453,ABC-000001,MXML.EnactmentLog,Task_19qrdf3,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T02:50:34.587,2020-12-23T02:50:32.587
L,1453,ABC-000001,MXML.EnactmentLog,Task_0jnkm8s,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T02:53:51.576,2020-12-23T02:50:34.587
O,1453,ABC-000001,MXML.EnactmentLog,Task_1l1hbv6,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T03:10:02.080,2020-12-23T02:53:51.576
BB,1453,MNO-000003,MXML.EnactmentLog,Task_1pzwok3,Process_1,qbp_e91ea0ac-6218-4bdc-bfab-beccf73d8794,2020-12-23T03:10:35.201,2020-12-23T03:10:02.080
CC,1453,MNO-000002,MXML.EnactmentLog,Task_0t6ryvv,Process_1,qbp_e91ea0ac-6218-4bdc-bfab-beccf73d8794,2020-12-23T03:56:38.012,2020-12-23T03:10:35.201
DD,1453,MNO-000001,MXML.EnactmentLog,Task_1e72t9f,Process_1,qbp_e91ea0ac-6218-4bdc-bfab-beccf73d8794,2020-12-23T03:58:37.429,2020-12-23T03:56:38.012
R,1453,DEF-000001,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T04:18:42.072,2020-12-23T03:58:37.429
S,1453,DEF-000001,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T04:53:19.307,2020-12-23T04:18:42.072
T,1453,DEF-000001,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T04:59:16.738,2020-12-23T04:53:19.307
A,1454,ABC-000001,MXML.EnactmentLog,Task_1mwrpiw,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T17:20:42.259,2020-12-22T17:16:34.540
B,1454,ABC-000001,MXML.EnactmentLog,Task_1w88vmv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:15:02.104,2020-12-22T18:02:36.717
G,1454,ABC-000001,MXML.EnactmentLog,Task_0pf3qxv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:47:25.063,2020-12-22T18:46:44.774
F,1454,ABC-000001,MXML.EnactmentLog,Task_0dfp9e9,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:47:55.244,2020-12-22T18:47:25.063
D,1454,ABC-000001,MXML.EnactmentLog,Task_1u4gdar,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T18:58:02.950,2020-12-22T18:47:55.244
H,1454,ABC-000001,MXML.EnactmentLog,Task_1yczilm,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T19:10:09.135,2020-12-22T18:58:02.950
C,1454,ABC-000001,MXML.EnactmentLog,Task_1xhajjz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T19:11:36.083,2020-12-22T19:10:09.135
E,1454,ABC-000001,MXML.EnactmentLog,Task_1f0rzqa,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T19:25:28.937,2020-12-22T19:11:36.083
I,1454,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T20:20:11.854,2020-12-22T20:19:11.854
J,1454,ABC-000001,MXML.EnactmentLog,Task_17qz3y7,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T20:40:44.421,2020-12-22T20:21:52.969
K,1454,ABC-000001,MXML.EnactmentLog,Task_19qrdf3,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T20:40:46.421,2020-12-22T20:40:44.421
L,1454,ABC-000001,MXML.EnactmentLog,Task_0jnkm8s,Process_1,QBP_DEFAULT_RESOURCE,2020-12-22T20:46:38.757,2020-12-22T20:40:46.421
A,1455,ABC-000001,MXML.EnactmentLog,Task_1mwrpiw,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T10:11:23.279,2020-12-23T10:08:33.334
B,1455,ABC-000001,MXML.EnactmentLog,Task_1w88vmv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T10:51:24.124,2020-12-23T10:11:23.279
G,1455,ABC-000001,MXML.EnactmentLog,Task_0pf3qxv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T11:37:02.222,2020-12-23T11:19:25.095
F,1455,ABC-000001,MXML.EnactmentLog,Task_0dfp9e9,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T11:38:48.994,2020-12-23T11:37:02.222
D,1455,ABC-000001,MXML.EnactmentLog,Task_1u4gdar,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T11:46:00.054,2020-12-23T11:38:48.994
H,1455,ABC-000001,MXML.EnactmentLog,Task_1yczilm,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T11:47:26.431,2020-12-23T11:46:00.054
C,1455,ABC-000001,MXML.EnactmentLog,Task_1xhajjz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T11:50:03.949,2020-12-23T11:47:26.431
E,1455,ABC-000001,MXML.EnactmentLog,Task_1f0rzqa,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T12:15:16.099,2020-12-23T11:50:03.949
I,1455,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T13:49:36.828,2020-12-23T13:48:36.828
J,1455,ABC-000001,MXML.EnactmentLog,Task_17qz3y7,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T15:47:47.999,2020-12-23T15:46:36.899
P,1455,ABC-000001,MXML.EnactmentLog,Task_0tm4h1h,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T17:25:37.357,2020-12-23T17:25:28.296
Q,1455,DEF-000002,MXML.EnactmentLog,Task_08t6quk,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T20:05:14.831,2020-12-23T17:25:37.357
R,1455,DEF-000003,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T20:10:44.400,2020-12-23T20:05:14.831
S,1455,DEF-000002,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T20:14:49.411,2020-12-23T20:10:44.400
T,1455,DEF-000003,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T20:25:24.703,2020-12-23T20:14:49.411
I,1455,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T22:19:57.805,2020-12-23T22:18:57.805
P,1455,ABC-000001,MXML.EnactmentLog,Task_0tm4h1h,Process_1,QBP_DEFAULT_RESOURCE,2020-12-24T01:50:06.070,2020-12-24T01:26:27.853
Q,1455,DEF-000001,MXML.EnactmentLog,Task_08t6quk,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-24T05:17:55.556,2020-12-24T02:42:26.751
R,1455,DEF-000001,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-24T12:47:45.177,2020-12-24T07:07:24.907
S,1455,DEF-000003,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-24T13:46:46.529,2020-12-24T13:34:48.561
T,1455,DEF-000002,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-24T14:10:09.460,2020-12-24T14:02:44.645
I,1455,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-24T16:50:48.207,2020-12-24T16:49:48.207
P,1455,ABC-000001,MXML.EnactmentLog,Task_0tm4h1h,Process_1,QBP_DEFAULT_RESOURCE,2020-12-24T22:01:38.365,2020-12-24T21:58:59.650
Q,1455,DEF-000002,MXML.EnactmentLog,Task_08t6quk,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-25T01:36:47.570,2020-12-24T22:01:38.365
R,1455,DEF-000001,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-25T08:23:24.621,2020-12-25T05:04:45.976
S,1455,DEF-000003,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-25T16:30:22.173,2020-12-25T16:23:00.494
T,1455,DEF-000001,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-25T17:33:24.489,2020-12-25T17:32:54.176
A,1456,ABC-000001,MXML.EnactmentLog,Task_1mwrpiw,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T11:19:25.095,2020-12-23T10:51:24.124
B,1456,ABC-000001,MXML.EnactmentLog,Task_1w88vmv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T12:21:20.130,2020-12-23T12:15:16.099
G,1456,ABC-000001,MXML.EnactmentLog,Task_0pf3qxv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T12:46:07.023,2020-12-23T12:22:20.887
F,1456,ABC-000001,MXML.EnactmentLog,Task_0dfp9e9,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T12:50:00.907,2020-12-23T12:46:07.023
D,1456,ABC-000001,MXML.EnactmentLog,Task_1u4gdar,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T12:52:42.996,2020-12-23T12:50:00.907
H,1456,ABC-000001,MXML.EnactmentLog,Task_1yczilm,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T13:02:37.154,2020-12-23T12:52:42.996
C,1456,ABC-000001,MXML.EnactmentLog,Task_1xhajjz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T13:19:06.012,2020-12-23T13:02:37.154
E,1456,ABC-000001,MXML.EnactmentLog,Task_1f0rzqa,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T13:23:02.158,2020-12-23T13:19:06.012
I,1456,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T15:50:41.610,2020-12-23T15:49:41.610
P,1456,ABC-000001,MXML.EnactmentLog,Task_0tm4h1h,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T19:54:49.732,2020-12-23T19:53:55.641
Q,1456,DEF-000001,MXML.EnactmentLog,Task_08t6quk,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-23T21:42:37.337,2020-12-23T19:54:49.732
R,1456,DEF-000002,MXML.EnactmentLog,Task_00cy468,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-24T03:25:59.993,2020-12-23T21:42:37.337
S,1456,DEF-000003,MXML.EnactmentLog,Task_0iex542,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-24T06:33:51.233,2020-12-24T06:05:17.363
T,1456,DEF-000003,MXML.EnactmentLog,Task_02gig04,Process_1,qbp_e0f3afa2-70df-4a0f-a0f2-dfcbd3484bdb,2020-12-24T12:39:16.409,2020-12-24T12:36:39.938
A,1457,ABC-000001,MXML.EnactmentLog,Task_1mwrpiw,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T12:22:20.887,2020-12-23T12:21:20.130
B,1457,ABC-000001,MXML.EnactmentLog,Task_1w88vmv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T13:37:04.658,2020-12-23T13:23:02.158
G,1457,ABC-000001,MXML.EnactmentLog,Task_0pf3qxv,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T13:52:29.916,2020-12-23T13:52:20.941
F,1457,ABC-000001,MXML.EnactmentLog,Task_0dfp9e9,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T13:54:40.570,2020-12-23T13:52:29.916
D,1457,ABC-000001,MXML.EnactmentLog,Task_1u4gdar,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T14:19:08.322,2020-12-23T13:54:40.570
H,1457,ABC-000001,MXML.EnactmentLog,Task_1yczilm,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T15:18:08.668,2020-12-23T14:19:08.322
C,1457,ABC-000001,MXML.EnactmentLog,Task_1xhajjz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T15:19:17.741,2020-12-23T15:18:08.668
E,1457,ABC-000001,MXML.EnactmentLog,Task_1f0rzqa,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T15:21:42.253,2020-12-23T15:19:17.741
I,1457,ABC-000001,MXML.EnactmentLog,Task_1eucwiz,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T16:09:26.082,2020-12-23T16:08:26.082
P,1457,ABC-000001,MXML.EnactmentLog,Task_0tm4h1h,Process_1,QBP_DEFAULT_RESOURCE,2020-12-23T20:30:04.938,2020-12-23T20:28:44.515
