task,caseid,user,LogType,case_variant,elementId,processId,resourceCost,resourceId,end_timestamp,start_timestamp
Pick-up,5322,Technician-000001,MXML.EnactmentLog,3,sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.9833263888888889,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-07T14:14:06.376,2019-05-07T14:11:44.777
Process drop-off,5323,Technician-000001,MXML.EnactmentLog,1,sid-B116665C-63B7-4D81-A47A-358CE898E122,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.7143958333333335,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-29T15:44:43.385,2019-04-29T15:43:00.512
Enter prescription details,5323,Technician-000001,MXML.EnactmentLog,1,sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.2239027777777778,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-30T19:25:29.871,2019-04-30T19:22:33.629
Check if refill is allowed,5323,Pharmacy System-000001,MXML.EnactmentLog,1,sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:25:29.871,2019-04-30T19:25:29.871
Check DUR,5323,Pharmacy System-000001,MXML.EnactmentLog,1,sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:25:29.871,2019-04-30T19:25:29.871
Check Insurance,5323,Pharmacy System-000001,MXML.EnactmentLog,1,sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:25:29.871,2019-04-30T19:25:29.871
Pack the drugs (Production),5323,Technician-000002,MXML.EnactmentLog,1,sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.1961805555555556,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-02T12:35:33.222,2019-05-02T12:32:40.972
Check for Quality Assurance,5323,Pharmacist-000001,MXML.EnactmentLog,1,sid-18F562AE-0F3A-489F-8660-38E177904BB0,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.7808194444444445,sid-FAF2CD12-620C-4F4C-AE70-862B185EF9BE,2019-05-02T12:36:41.728,2019-05-02T12:35:45.509
Pick-up,5323,Technician-000002,MXML.EnactmentLog,1,sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.0000694444444445,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-03T19:09:05.044,2019-05-03T19:06:41.034
Process drop-off,5324,Technician-000001,MXML.EnactmentLog,3,sid-B116665C-63B7-4D81-A47A-358CE898E122,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.6628888888888889,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-29T15:46:18.841,2019-04-29T15:44:43.385
Enter prescription details,5324,Technician-000003,MXML.EnactmentLog,3,sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.9807986111111112,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-30T19:25:38.501,2019-04-30T19:23:17.266
Check if refill is allowed,5324,Pharmacy System-000001,MXML.EnactmentLog,3,sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:25:38.501,2019-04-30T19:25:38.501
Check DUR,5324,Pharmacy System-000001,MXML.EnactmentLog,3,sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:25:38.501,2019-04-30T19:25:38.501
Check Insurance,5324,Pharmacy System-000001,MXML.EnactmentLog,3,sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:25:38.501,2019-04-30T19:25:38.501
Resolve insurance issues manually,5324,Technician-000003,MXML.EnactmentLog,3,sid-376F3213-4B1D-4DAB-89CC-60F051627586,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,3.4256527777777777,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-02T12:42:45.187,2019-05-02T12:34:31.893
Pack the drugs (Production),5324,Technician-000003,MXML.EnactmentLog,3,sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.1642847222222223,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-03T19:15:28.617,2019-05-03T19:12:40.960
Check for Quality Assurance,5324,Pharmacist-000001,MXML.EnactmentLog,3,sid-18F562AE-0F3A-489F-8660-38E177904BB0,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.8653472222222223,sid-FAF2CD12-620C-4F4C-AE70-862B185EF9BE,2019-05-03T19:16:30.922,2019-05-03T19:15:28.617
Pick-up,5324,Technician-000002,MXML.EnactmentLog,3,sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.9336180555555555,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-07T14:22:41.122,2019-05-07T14:20:26.681
Process drop-off,5325,Technician-000001,MXML.EnactmentLog,1,sid-B116665C-63B7-4D81-A47A-358CE898E122,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.5598055555555556,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-29T15:50:18.491,2019-04-29T15:48:57.879
Enter prescription details,5325,Technician-000002,MXML.EnactmentLog,1,sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.1356874999999997,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-30T19:29:40.198,2019-04-30T19:26:56.659
Check if refill is allowed,5325,Pharmacy System-000001,MXML.EnactmentLog,1,sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:29:40.198,2019-04-30T19:29:40.198
Check DUR,5325,Pharmacy System-000001,MXML.EnactmentLog,1,sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:29:40.198,2019-04-30T19:29:40.198
Check Insurance,5325,Pharmacy System-000001,MXML.EnactmentLog,1,sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:29:40.198,2019-04-30T19:29:40.198
Pack the drugs (Production),5325,Technician-000001,MXML.EnactmentLog,1,sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.2487569444444444,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-02T12:43:09.233,2019-05-02T12:40:09.412
Check for Quality Assurance,5325,Pharmacist-000001,MXML.EnactmentLog,1,sid-18F562AE-0F3A-489F-8660-38E177904BB0,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.6963472222222222,sid-FAF2CD12-620C-4F4C-AE70-862B185EF9BE,2019-05-02T12:43:59.370,2019-05-02T12:43:09.233
Pick-up,5325,Technician-000001,MXML.EnactmentLog,1,sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.8866736111111111,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-03T19:16:04.033,2019-05-03T19:13:56.352
Process drop-off,5326,Technician-000001,MXML.EnactmentLog,1,sid-B116665C-63B7-4D81-A47A-358CE898E122,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.5578194444444444,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-29T15:51:38.817,2019-04-29T15:50:18.491
Enter prescription details,5326,Technician-000002,MXML.EnactmentLog,1,sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.0104652777777778,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-30T19:32:05.705,2019-04-30T19:29:40.198
Check if refill is allowed,5326,Pharmacy System-000001,MXML.EnactmentLog,1,sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:32:05.705,2019-04-30T19:32:05.705
Check DUR,5326,Pharmacy System-000001,MXML.EnactmentLog,1,sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:32:05.705,2019-04-30T19:32:05.705
Check Insurance,5326,Pharmacy System-000001,MXML.EnactmentLog,1,sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:32:05.705,2019-04-30T19:32:05.705
Pack the drugs (Production),5326,Technician-000001,MXML.EnactmentLog,1,sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.389888888888889,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-02T12:48:00.612,2019-05-02T12:44:40.468
Check for Quality Assurance,5326,Pharmacist-000001,MXML.EnactmentLog,1,sid-18F562AE-0F3A-489F-8660-38E177904BB0,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.83425,sid-FAF2CD12-620C-4F4C-AE70-862B185EF9BE,2019-05-02T12:49:00.678,2019-05-02T12:48:00.612
Pick-up,5326,Technician-000003,MXML.EnactmentLog,1,sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.2477916666666664,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-03T19:21:16.807,2019-05-03T19:18:17.125
Process drop-off,5327,Technician-000001,MXML.EnactmentLog,1,sid-B116665C-63B7-4D81-A47A-358CE898E122,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.7105833333333333,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-29T15:53:21.141,2019-04-29T15:51:38.817
Enter prescription details,5327,Technician-000001,MXML.EnactmentLog,1,sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.1113333333333333,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-30T19:33:58.575,2019-04-30T19:31:18.543
Check if refill is allowed,5327,Pharmacy System-000001,MXML.EnactmentLog,1,sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:33:58.575,2019-04-30T19:33:58.575
Check DUR,5327,Pharmacy System-000001,MXML.EnactmentLog,1,sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:33:58.575,2019-04-30T19:33:58.575
Check Insurance,5327,Pharmacy System-000001,MXML.EnactmentLog,1,sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:33:58.575,2019-04-30T19:33:58.575
Pack the drugs (Production),5327,Technician-000003,MXML.EnactmentLog,1,sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.3323680555555555,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-02T12:51:31.327,2019-05-02T12:48:19.466
Check for Quality Assurance,5327,Pharmacist-000001,MXML.EnactmentLog,1,sid-18F562AE-0F3A-489F-8660-38E177904BB0,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.8997638888888889,sid-FAF2CD12-620C-4F4C-AE70-862B185EF9BE,2019-05-02T12:52:36.110,2019-05-02T12:51:31.327
Pick-up,5327,Technician-000002,MXML.EnactmentLog,1,sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.086673611111111,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-03T19:24:36.877,2019-05-03T19:22:00.396
Process drop-off,5328,Technician-000001,MXML.EnactmentLog,2,sid-B116665C-63B7-4D81-A47A-358CE898E122,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.6436458333333334,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-29T15:54:53.826,2019-04-29T15:53:21.141
Enter prescription details,5328,Technician-000002,MXML.EnactmentLog,2,sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.2289652777777778,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-30T19:36:27.761,2019-04-30T19:33:30.790
Check if refill is allowed,5328,Pharmacy System-000001,MXML.EnactmentLog,2,sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:36:27.761,2019-04-30T19:36:27.761
Check DUR,5328,Pharmacy System-000001,MXML.EnactmentLog,2,sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:36:27.761,2019-04-30T19:36:27.761
Resolve DUR manually,5328,Pharmacist-000001,MXML.EnactmentLog,2,sid-2D8F96BD-C99A-4D36-A951-AC29CB4A1B4A,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.2280972222222222,sid-FAF2CD12-620C-4F4C-AE70-862B185EF9BE,2019-04-30T19:37:56.184,2019-04-30T19:36:27.761
Check Insurance,5328,Pharmacy System-000001,MXML.EnactmentLog,2,sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:37:56.184,2019-04-30T19:37:56.184
Pack the drugs (Production),5328,Technician-000001,MXML.EnactmentLog,2,sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.2002847222222224,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-02T12:55:27.096,2019-05-02T12:52:34.255
Check for Quality Assurance,5328,Pharmacist-000001,MXML.EnactmentLog,2,sid-18F562AE-0F3A-489F-8660-38E177904BB0,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.9680555555555556,sid-FAF2CD12-620C-4F4C-AE70-862B185EF9BE,2019-05-02T12:56:36.796,2019-05-02T12:55:27.096
Pick-up,5328,Technician-000002,MXML.EnactmentLog,2,sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.9896597222222222,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-03T19:29:07.501,2019-05-03T19:26:44.990
Process drop-off,5329,Technician-000001,MXML.EnactmentLog,1,sid-B116665C-63B7-4D81-A47A-358CE898E122,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.5660000000000001,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-29T15:58:44.850,2019-04-29T15:57:23.346
Enter prescription details,5329,Technician-000003,MXML.EnactmentLog,1,sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.8567638888888889,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-04-30T19:37:19.049,2019-04-30T19:35:15.675
Check if refill is allowed,5329,Pharmacy System-000001,MXML.EnactmentLog,1,sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:37:19.049,2019-04-30T19:37:19.049
Check DUR,5329,Pharmacy System-000001,MXML.EnactmentLog,1,sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:37:19.049,2019-04-30T19:37:19.049
Check Insurance,5329,Pharmacy System-000001,MXML.EnactmentLog,1,sid-D859AC4F-3984-4A6B-8366-62B226C4DD53,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-04-30T19:37:19.049,2019-04-30T19:37:19.049
Pack the drugs (Production),5329,Technician-000002,MXML.EnactmentLog,1,sid-A4A84A0D-A58B-4650-A3F2-D1967DB8C146,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.2584513888888889,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-02T12:54:33.892,2019-05-02T12:51:32.675
Check for Quality Assurance,5329,Pharmacist-000001,MXML.EnactmentLog,1,sid-18F562AE-0F3A-489F-8660-38E177904BB0,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.7009583333333335,sid-FAF2CD12-620C-4F4C-AE70-862B185EF9BE,2019-05-02T12:55:24.361,2019-05-02T12:54:33.892
Pick-up,5329,Technician-000002,MXML.EnactmentLog,1,sid-6305CEC6-25BA-4B0F-8CF1-2AD6F76D8B9E,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.8896736111111111,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-05-03T19:26:44.990,2019-05-03T19:24:36.877
Process drop-off,533,Technician-000001,MXML.EnactmentLog,9,sid-B116665C-63B7-4D81-A47A-358CE898E122,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,0.7268055555555556,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-03-27T14:58:58.103,2019-03-27T14:57:13.443
Enter prescription details,533,Technician-000002,MXML.EnactmentLog,9,sid-B9F72F21-DC8A-4873-9E04-B19ED7381ADC,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,1.014763888888889,sid-C1BCD679-E133-4F46-9956-013E1F9E0BD1,2019-03-27T16:22:10.193,2019-03-27T16:19:44.067
Check if refill is allowed,533,Pharmacy System-000001,MXML.EnactmentLog,9,sid-0B0AE587-EE27-414E-A051-D91E1866E1C3,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-03-27T16:22:10.193,2019-03-27T16:22:10.193
Check DUR,533,Pharmacy System-000001,MXML.EnactmentLog,9,sid-2B439B6B-4DD1-4D40-902D-43B7C4F215AB,sid-841F35F3-ABD1-4ABA-B8AD-28581544A987,,sid-66F243A5-4165-4803-805B-A5F6BB41B476,2019-03-27T16:22:10.193,2019-03-27T16:22:10.193
