task,caseid,user,Activity_1,Resource_1,creator,variant,variant_index,end_timestamp,start_timestamp
End,100102,End,End,End,Fluxicon Disco,Variant 7,7,2016-04-07T18:34:20.000,2016-04-07T18:34:20.000
Start,100952,Start,Start,Start,Fluxicon Disco,Variant 3,3,2016-03-14T16:21:52.000,2016-03-14T16:21:52.000
Traer informacion estudiante - banner,100952,5641,Traer informacion estudiante - banner,5641,Fluxicon Disco,Variant 3,3,2016-03-14T16:21:52.000,2016-03-14T16:21:52.000
Radicar Solicitud Homologacion,100952,5641,Radicar Solicitud Homologacion,5641,Fluxicon Disco,Variant 3,3,2016-03-14T17:25:21.000,2016-03-14T16:21:53.000
Validar solicitud,100952,1707,Validar solicitud,1707,Fluxicon Disco,Variant 3,3,2016-03-31T18:16:14.000,2016-03-31T16:50:05.000
Homologacion por grupo de cursos,100952,15930,Homologacion por grupo de cursos,15930,Fluxicon Disco,Variant 3,3,2016-04-15T18:22:48.000,2016-04-15T13:34:48.000
Revisar curso,100952,1707,Revisar curso,1707,Fluxicon Disco,Variant 3,3,2016-04-15T15:03:41.000,2016-04-15T13:34:48.000
Evaluacion curso,100952,1707,Evaluacion curso,1707,Fluxicon Disco,Variant 3,3,2016-05-02T18:48:36.000,2016-05-02T15:53:02.000
Validacion final,100952,1707,Validacion final,1707,Fluxicon Disco,Variant 3,3,2016-06-03T15:27:14.000,2016-06-03T15:27:05.000
Visto Bueno Cierre Proceso,100952,15930,Visto Bueno Cierre Proceso,15930,Fluxicon Disco,Variant 3,3,2016-06-03T16:00:01.000,2016-06-03T15:36:38.000
End,100952,End,End,End,Fluxicon Disco,Variant 3,3,2016-06-03T16:00:01.000,2016-06-03T16:00:01.000
Start,100953,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-14T17:04:43.000,2016-03-14T17:04:43.000
Traer informacion estudiante - banner,100953,7736,Traer informacion estudiante - banner,7736,Fluxicon Disco,Variant 1,1,2016-03-14T17:04:43.000,2016-03-14T17:04:43.000
Radicar Solicitud Homologacion,100953,7736,Radicar Solicitud Homologacion,7736,Fluxicon Disco,Variant 1,1,2016-03-14T17:05:06.000,2016-03-14T17:04:46.000
Cancelar Solicitud,100953,7736,Cancelar Solicitud,7736,Fluxicon Disco,Variant 1,1,2016-03-14T17:26:03.000,2016-03-14T17:25:47.000
Notificacion estudiante cancelacion soli,100953,7736,Notificacion estudiante cancelacion soli,7736,Fluxicon Disco,Variant 1,1,2016-03-14T17:42:07.000,2016-03-14T17:42:07.000
End,100953,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-14T17:42:07.000,2016-03-14T17:42:07.000
Start,100954,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-14T17:42:41.000,2016-03-14T17:42:41.000
Traer informacion estudiante - banner,100954,7736,Traer informacion estudiante - banner,7736,Fluxicon Disco,Variant 1,1,2016-03-14T17:42:41.000,2016-03-14T17:42:41.000
Radicar Solicitud Homologacion,100954,7736,Radicar Solicitud Homologacion,7736,Fluxicon Disco,Variant 1,1,2016-03-14T17:42:58.000,2016-03-14T17:42:43.000
Cancelar Solicitud,100954,22475,Cancelar Solicitud,22475,Fluxicon Disco,Variant 1,1,2016-03-14T17:58:33.000,2016-03-14T17:58:32.000
Notificacion estudiante cancelacion soli,100954,22475,Notificacion estudiante cancelacion soli,22475,Fluxicon Disco,Variant 1,1,2016-03-14T18:26:56.000,2016-03-14T18:26:56.000
End,100954,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-14T18:26:56.000,2016-03-14T18:26:56.000
Start,101002,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-14T19:49:01.000,2016-03-14T19:49:01.000
Traer informacion estudiante - banner,101002,15862,Traer informacion estudiante - banner,15862,Fluxicon Disco,Variant 1,1,2016-03-14T19:49:01.000,2016-03-14T19:49:01.000
Radicar Solicitud Homologacion,101002,15862,Radicar Solicitud Homologacion,15862,Fluxicon Disco,Variant 1,1,2016-03-14T19:49:35.000,2016-03-14T19:49:02.000
Cancelar Solicitud,101002,6400,Cancelar Solicitud,6400,Fluxicon Disco,Variant 1,1,2016-03-14T22:21:22.000,2016-03-14T20:33:52.000
Notificacion estudiante cancelacion soli,101002,6400,Notificacion estudiante cancelacion soli,6400,Fluxicon Disco,Variant 1,1,2016-04-08T15:04:50.000,2016-04-08T15:04:50.000
End,101002,End,End,End,Fluxicon Disco,Variant 1,1,2016-04-08T15:04:50.000,2016-04-08T15:04:50.000
Start,101051,Start,Start,Start,Fluxicon Disco,Variant 6,6,2016-03-14T19:41:54.000,2016-03-14T19:41:54.000
Traer informacion estudiante - banner,101051,1471,Traer informacion estudiante - banner,1471,Fluxicon Disco,Variant 6,6,2016-03-14T19:41:54.000,2016-03-14T19:41:54.000
Radicar Solicitud Homologacion,101051,1471,Radicar Solicitud Homologacion,1471,Fluxicon Disco,Variant 6,6,2016-03-14T19:41:58.000,2016-03-14T19:41:58.000
Validar solicitud,101051,677,Validar solicitud,677,Fluxicon Disco,Variant 6,6,2016-03-14T19:52:36.000,2016-03-14T19:52:36.000
Homologacion por grupo de cursos,101051,7331,Homologacion por grupo de cursos,7331,Fluxicon Disco,Variant 6,6,2016-03-15T01:14:05.000,2016-03-14T19:58:05.000
Revisar curso,101051,677,Revisar curso,677,Fluxicon Disco,Variant 6,6,2016-03-14T19:58:06.000,2016-03-14T19:58:06.000
Evaluacion curso,101051,7331,Evaluacion curso,7331,Fluxicon Disco,Variant 6,6,2016-03-15T01:15:00.000,2016-03-14T19:59:00.000
End,101051,End,End,End,Fluxicon Disco,Variant 6,6,2016-03-15T01:15:00.000,2016-03-15T01:15:00.000
Start,101101,Start,Start,Start,Fluxicon Disco,Variant 2,2,2016-03-14T22:04:31.000,2016-03-14T22:04:31.000
Traer informacion estudiante - banner,101101,3149,Traer informacion estudiante - banner,3149,Fluxicon Disco,Variant 2,2,2016-03-14T22:04:31.000,2016-03-14T22:04:31.000
Radicar Solicitud Homologacion,101101,3149,Radicar Solicitud Homologacion,3149,Fluxicon Disco,Variant 2,2,2016-03-14T22:25:41.000,2016-03-14T22:04:34.000
Validar solicitud,101101,186,Validar solicitud,186,Fluxicon Disco,Variant 2,2,2016-03-17T21:25:20.000,2016-03-17T17:12:33.000
Homologacion por grupo de cursos,101101,186,Homologacion por grupo de cursos,186,Fluxicon Disco,Variant 2,2,2016-05-10T03:57:40.000,2016-05-10T03:42:02.000
End,101101,End,End,End,Fluxicon Disco,Variant 2,2,2016-05-10T03:57:40.000,2016-05-10T03:57:40.000
Start,101102,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-14T22:44:54.000,2016-03-14T22:44:54.000
Traer informacion estudiante - banner,101102,5275,Traer informacion estudiante - banner,5275,Fluxicon Disco,Variant 1,1,2016-03-14T22:44:54.000,2016-03-14T22:44:54.000
Radicar Solicitud Homologacion,101102,5275,Radicar Solicitud Homologacion,5275,Fluxicon Disco,Variant 1,1,2016-03-14T22:45:12.000,2016-03-14T22:44:55.000
Cancelar Solicitud,101102,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-03-14T23:17:19.000,2016-03-14T23:02:02.000
Notificacion estudiante cancelacion soli,101102,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-03-16T22:19:51.000,2016-03-16T22:19:51.000
End,101102,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-16T22:19:51.000,2016-03-16T22:19:51.000
Start,101103,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-14T22:47:34.000,2016-03-14T22:47:34.000
Traer informacion estudiante - banner,101103,9427,Traer informacion estudiante - banner,9427,Fluxicon Disco,Variant 1,1,2016-03-14T22:47:34.000,2016-03-14T22:47:34.000
Radicar Solicitud Homologacion,101103,9427,Radicar Solicitud Homologacion,9427,Fluxicon Disco,Variant 1,1,2016-03-14T22:48:10.000,2016-03-14T22:47:35.000
Cancelar Solicitud,101103,677,Cancelar Solicitud,677,Fluxicon Disco,Variant 1,1,2016-03-14T23:39:55.000,2016-03-14T23:23:19.000
Notificacion estudiante cancelacion soli,101103,677,Notificacion estudiante cancelacion soli,677,Fluxicon Disco,Variant 1,1,2016-03-17T00:34:13.000,2016-03-17T00:34:13.000
End,101103,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-17T00:34:13.000,2016-03-17T00:34:13.000
Start,101201,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-14T21:54:24.000,2016-03-14T21:54:24.000
Traer informacion estudiante - banner,101201,9437,Traer informacion estudiante - banner,9437,Fluxicon Disco,Variant 1,1,2016-03-14T21:54:24.000,2016-03-14T21:54:24.000
Radicar Solicitud Homologacion,101201,9437,Radicar Solicitud Homologacion,9437,Fluxicon Disco,Variant 1,1,2016-03-14T21:54:54.000,2016-03-14T21:54:28.000
Cancelar Solicitud,101201,9437,Cancelar Solicitud,9437,Fluxicon Disco,Variant 1,1,2016-03-14T22:21:50.000,2016-03-14T22:21:22.000
Notificacion estudiante cancelacion soli,101201,9437,Notificacion estudiante cancelacion soli,9437,Fluxicon Disco,Variant 1,1,2016-03-14T22:50:01.000,2016-03-14T22:50:01.000
End,101201,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-14T22:50:01.000,2016-03-14T22:50:01.000
Start,101202,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-14T22:18:17.000,2016-03-14T22:18:17.000
Traer informacion estudiante - banner,101202,8556,Traer informacion estudiante - banner,8556,Fluxicon Disco,Variant 1,1,2016-03-14T22:18:17.000,2016-03-14T22:18:17.000
Radicar Solicitud Homologacion,101202,8556,Radicar Solicitud Homologacion,8556,Fluxicon Disco,Variant 1,1,2016-03-14T22:18:34.000,2016-03-14T22:18:18.000
Cancelar Solicitud,101202,241,Cancelar Solicitud,241,Fluxicon Disco,Variant 1,1,2016-03-14T23:12:46.000,2016-03-14T22:34:34.000
Notificacion estudiante cancelacion soli,101202,241,Notificacion estudiante cancelacion soli,241,Fluxicon Disco,Variant 1,1,2016-03-28T21:47:27.000,2016-03-28T21:47:27.000
End,101202,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-28T21:47:27.000,2016-03-28T21:47:27.000
Start,101203,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-14T22:34:08.000,2016-03-14T22:34:08.000
Traer informacion estudiante - banner,101203,8955,Traer informacion estudiante - banner,8955,Fluxicon Disco,Variant 1,1,2016-03-14T22:34:08.000,2016-03-14T22:34:08.000
Radicar Solicitud Homologacion,101203,8955,Radicar Solicitud Homologacion,8955,Fluxicon Disco,Variant 1,1,2016-03-14T22:34:20.000,2016-03-14T22:34:08.000
Cancelar Solicitud,101203,241,Cancelar Solicitud,241,Fluxicon Disco,Variant 1,1,2016-03-14T23:24:43.000,2016-03-14T22:46:40.000
Notificacion estudiante cancelacion soli,101203,241,Notificacion estudiante cancelacion soli,241,Fluxicon Disco,Variant 1,1,2016-03-28T21:50:36.000,2016-03-28T21:50:36.000
End,101203,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-28T21:50:36.000,2016-03-28T21:50:36.000
Start,101204,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-14T22:50:50.000,2016-03-14T22:50:50.000
Traer informacion estudiante - banner,101204,9437,Traer informacion estudiante - banner,9437,Fluxicon Disco,Variant 1,1,2016-03-14T22:50:50.000,2016-03-14T22:50:50.000
Radicar Solicitud Homologacion,101204,9437,Radicar Solicitud Homologacion,9437,Fluxicon Disco,Variant 1,1,2016-03-14T22:50:59.000,2016-03-14T22:50:51.000
Cancelar Solicitud,101204,241,Cancelar Solicitud,241,Fluxicon Disco,Variant 1,1,2016-03-14T23:37:41.000,2016-03-14T22:59:50.000
Notificacion estudiante cancelacion soli,101204,241,Notificacion estudiante cancelacion soli,241,Fluxicon Disco,Variant 1,1,2016-03-28T21:51:32.000,2016-03-28T21:51:32.000
End,101204,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-28T21:51:32.000,2016-03-28T21:51:32.000
Start,101205,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-14T23:10:27.000,2016-03-14T23:10:27.000
Traer informacion estudiante - banner,101205,7573,Traer informacion estudiante - banner,7573,Fluxicon Disco,Variant 1,1,2016-03-14T23:10:27.000,2016-03-14T23:10:27.000
Radicar Solicitud Homologacion,101205,7573,Radicar Solicitud Homologacion,7573,Fluxicon Disco,Variant 1,1,2016-03-14T23:11:17.000,2016-03-14T23:10:28.000
Cancelar Solicitud,101205,241,Cancelar Solicitud,241,Fluxicon Disco,Variant 1,1,2016-03-15T12:57:22.000,2016-03-15T12:20:24.000
Notificacion estudiante cancelacion soli,101205,241,Notificacion estudiante cancelacion soli,241,Fluxicon Disco,Variant 1,1,2016-03-28T21:58:53.000,2016-03-28T21:58:53.000
End,101205,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-28T21:58:53.000,2016-03-28T21:58:53.000
Start,101207,Start,Start,Start,Fluxicon Disco,Variant 12,12,2016-03-14T23:27:30.000,2016-03-14T23:27:30.000
Traer informacion estudiante - banner,101207,26321,Traer informacion estudiante - banner,26321,Fluxicon Disco,Variant 12,12,2016-03-14T23:27:30.000,2016-03-14T23:27:30.000
Radicar Solicitud Homologacion,101207,26321,Radicar Solicitud Homologacion,26321,Fluxicon Disco,Variant 12,12,2016-03-14T23:28:03.000,2016-03-14T23:27:31.000
Validar solicitud,101207,49,Validar solicitud,49,Fluxicon Disco,Variant 12,12,2016-03-15T00:28:03.000,2016-03-15T00:04:19.000
Homologacion por grupo de cursos,101207,2541,Homologacion por grupo de cursos,2541,Fluxicon Disco,Variant 12,12,2016-03-18T03:40:13.000,2016-03-17T23:44:19.000
Revisar curso,101207,1707,Revisar curso,1707,Fluxicon Disco,Variant 12,12,2016-03-18T03:13:23.000,2016-03-17T23:44:19.000
Evaluacion curso,101207,1707,Evaluacion curso,1707,Fluxicon Disco,Variant 12,12,2016-05-02T16:03:31.000,2016-05-02T15:48:20.000
Validacion final,101207,49,Validacion final,49,Fluxicon Disco,Variant 12,12,2016-05-04T14:08:41.000,2016-05-04T13:57:34.000
Visto Bueno Cierre Proceso,101207,2541,Visto Bueno Cierre Proceso,2541,Fluxicon Disco,Variant 12,12,2016-05-05T18:07:37.000,2016-05-05T18:07:06.000
Transferir Creditos,101207,2541,Transferir Creditos,2541,Fluxicon Disco,Variant 12,12,2016-05-05T18:38:37.000,2016-05-05T18:38:37.000
End,101207,End,End,End,Fluxicon Disco,Variant 12,12,2016-05-05T18:38:37.000,2016-05-05T18:38:37.000
Start,101251,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-14T22:11:45.000,2016-03-14T22:11:45.000
Traer informacion estudiante - banner,101251,25141,Traer informacion estudiante - banner,25141,Fluxicon Disco,Variant 1,1,2016-03-14T22:11:45.000,2016-03-14T22:11:45.000
Radicar Solicitud Homologacion,101251,25141,Radicar Solicitud Homologacion,25141,Fluxicon Disco,Variant 1,1,2016-03-14T22:45:36.000,2016-03-14T22:11:48.000
Cancelar Solicitud,101251,25141,Cancelar Solicitud,25141,Fluxicon Disco,Variant 1,1,2016-03-20T19:54:18.000,2016-03-20T15:50:18.000
Notificacion estudiante cancelacion soli,101251,25141,Notificacion estudiante cancelacion soli,25141,Fluxicon Disco,Variant 1,1,2016-05-10T20:08:41.000,2016-05-10T20:08:41.000
End,101251,End,End,End,Fluxicon Disco,Variant 1,1,2016-05-10T20:08:41.000,2016-05-10T20:08:41.000
Start,101301,Start,Start,Start,Fluxicon Disco,Variant 41,41,2016-03-14T22:56:19.000,2016-03-14T22:56:19.000
Revisar curso,101301,22534,Revisar curso,22534,Fluxicon Disco,Variant 41,41,2016-03-15T02:37:22.000,2016-03-14T22:56:19.000
Traer informacion estudiante - banner,101301,11760,Traer informacion estudiante - banner,11760,Fluxicon Disco,Variant 41,41,2016-03-15T00:17:20.000,2016-03-15T00:17:20.000
Radicar Solicitud Homologacion,101301,11760,Radicar Solicitud Homologacion,11760,Fluxicon Disco,Variant 41,41,2016-03-15T00:17:25.000,2016-03-15T00:17:25.000
Cancelar Solicitud,101301,22475,Cancelar Solicitud,22475,Fluxicon Disco,Variant 41,41,2016-03-15T07:00:19.000,2016-03-15T00:26:43.000
Validar solicitud,101301,22475,Validar solicitud,22475,Fluxicon Disco,Variant 41,41,2016-03-15T00:26:43.000,2016-03-15T00:26:43.000
Notificacion estudiante cancelacion soli,101301,22475,Notificacion estudiante cancelacion soli,22475,Fluxicon Disco,Variant 41,41,2016-06-01T16:36:32.000,2016-06-01T16:36:32.000
End,101301,End,End,End,Fluxicon Disco,Variant 41,41,2016-06-01T16:36:32.000,2016-06-01T16:36:32.000
Start,101351,Start,Start,Start,Fluxicon Disco,Variant 5,5,2016-03-15T01:57:53.000,2016-03-15T01:57:53.000
Traer informacion estudiante - banner,101351,11775,Traer informacion estudiante - banner,11775,Fluxicon Disco,Variant 5,5,2016-03-15T01:57:53.000,2016-03-15T01:57:53.000
Radicar Solicitud Homologacion,101351,11775,Radicar Solicitud Homologacion,11775,Fluxicon Disco,Variant 5,5,2016-03-15T01:57:57.000,2016-03-15T01:57:57.000
Notificacion estudiante cancelacion soli,101351,1,Notificacion estudiante cancelacion soli,1,Fluxicon Disco,Variant 5,5,2016-03-30T23:24:15.000,2016-03-30T23:24:15.000
End,101351,End,End,End,Fluxicon Disco,Variant 5,5,2016-03-30T23:24:15.000,2016-03-30T23:24:15.000
Start,101352,Start,Start,Start,Fluxicon Disco,Variant 5,5,2016-03-15T02:01:00.000,2016-03-15T02:01:00.000
Traer informacion estudiante - banner,101352,11775,Traer informacion estudiante - banner,11775,Fluxicon Disco,Variant 5,5,2016-03-15T02:01:00.000,2016-03-15T02:01:00.000
Radicar Solicitud Homologacion,101352,11775,Radicar Solicitud Homologacion,11775,Fluxicon Disco,Variant 5,5,2016-03-15T02:01:01.000,2016-03-15T02:01:01.000
Notificacion estudiante cancelacion soli,101352,1,Notificacion estudiante cancelacion soli,1,Fluxicon Disco,Variant 5,5,2016-03-30T23:24:16.000,2016-03-30T23:24:16.000
End,101352,End,End,End,Fluxicon Disco,Variant 5,5,2016-03-30T23:24:16.000,2016-03-30T23:24:16.000
Start,101353,Start,Start,Start,Fluxicon Disco,Variant 5,5,2016-03-15T02:01:34.000,2016-03-15T02:01:34.000
Traer informacion estudiante - banner,101353,11775,Traer informacion estudiante - banner,11775,Fluxicon Disco,Variant 5,5,2016-03-15T02:01:34.000,2016-03-15T02:01:34.000
Radicar Solicitud Homologacion,101353,11775,Radicar Solicitud Homologacion,11775,Fluxicon Disco,Variant 5,5,2016-03-15T02:01:35.000,2016-03-15T02:01:35.000
Notificacion estudiante cancelacion soli,101353,1,Notificacion estudiante cancelacion soli,1,Fluxicon Disco,Variant 5,5,2016-03-30T23:24:16.000,2016-03-30T23:24:16.000
End,101353,End,End,End,Fluxicon Disco,Variant 5,5,2016-03-30T23:24:16.000,2016-03-30T23:24:16.000
Start,101451,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-15T09:22:47.000,2016-03-15T09:22:47.000
Traer informacion estudiante - banner,101451,7573,Traer informacion estudiante - banner,7573,Fluxicon Disco,Variant 1,1,2016-03-15T09:22:47.000,2016-03-15T09:22:47.000
Radicar Solicitud Homologacion,101451,7573,Radicar Solicitud Homologacion,7573,Fluxicon Disco,Variant 1,1,2016-03-15T09:22:51.000,2016-03-15T09:22:51.000
Cancelar Solicitud,101451,241,Cancelar Solicitud,241,Fluxicon Disco,Variant 1,1,2016-03-15T13:00:24.000,2016-03-15T12:21:31.000
Notificacion estudiante cancelacion soli,101451,241,Notificacion estudiante cancelacion soli,241,Fluxicon Disco,Variant 1,1,2016-03-28T23:53:43.000,2016-03-28T23:53:43.000
End,101451,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-28T23:53:43.000,2016-03-28T23:53:43.000
Start,101452,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-15T09:40:21.000,2016-03-15T09:40:21.000
Traer informacion estudiante - banner,101452,7573,Traer informacion estudiante - banner,7573,Fluxicon Disco,Variant 1,1,2016-03-15T09:40:21.000,2016-03-15T09:40:21.000
Radicar Solicitud Homologacion,101452,7573,Radicar Solicitud Homologacion,7573,Fluxicon Disco,Variant 1,1,2016-03-15T09:40:22.000,2016-03-15T09:40:22.000
Cancelar Solicitud,101452,241,Cancelar Solicitud,241,Fluxicon Disco,Variant 1,1,2016-03-15T13:01:45.000,2016-03-15T12:22:51.000
Notificacion estudiante cancelacion soli,101452,241,Notificacion estudiante cancelacion soli,241,Fluxicon Disco,Variant 1,1,2016-03-28T23:54:37.000,2016-03-28T23:54:37.000
End,101452,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-28T23:54:37.000,2016-03-28T23:54:37.000
Start,101501,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-15T12:12:38.000,2016-03-15T12:12:38.000
Traer informacion estudiante - banner,101501,7573,Traer informacion estudiante - banner,7573,Fluxicon Disco,Variant 1,1,2016-03-15T12:12:38.000,2016-03-15T12:12:38.000
Radicar Solicitud Homologacion,101501,7573,Radicar Solicitud Homologacion,7573,Fluxicon Disco,Variant 1,1,2016-03-15T12:12:42.000,2016-03-15T12:12:42.000
Cancelar Solicitud,101501,241,Cancelar Solicitud,241,Fluxicon Disco,Variant 1,1,2016-03-15T13:02:14.000,2016-03-15T12:23:19.000
Notificacion estudiante cancelacion soli,101501,241,Notificacion estudiante cancelacion soli,241,Fluxicon Disco,Variant 1,1,2016-03-28T23:55:30.000,2016-03-28T23:55:30.000
End,101501,End,End,End,Fluxicon Disco,Variant 1,1,2016-03-28T23:55:30.000,2016-03-28T23:55:30.000
Start,101551,Start,Start,Start,Fluxicon Disco,Variant 37,37,2016-03-15T11:48:34.000,2016-03-15T11:48:34.000
Traer informacion estudiante - banner,101551,7492,Traer informacion estudiante - banner,7492,Fluxicon Disco,Variant 37,37,2016-03-15T11:48:34.000,2016-03-15T11:48:34.000
Radicar Solicitud Homologacion,101551,7492,Radicar Solicitud Homologacion,7492,Fluxicon Disco,Variant 37,37,2016-03-15T11:48:39.000,2016-03-15T11:48:39.000
Validar solicitud,101551,19019,Validar solicitud,19019,Fluxicon Disco,Variant 37,37,2016-03-15T12:14:04.000,2016-03-15T11:59:43.000
Homologacion por grupo de cursos,101551,19019,Homologacion por grupo de cursos,19019,Fluxicon Disco,Variant 37,37,2016-03-16T22:21:44.000,2016-03-16T22:21:44.000
Validar solicitud / pre-homologacion,101551,19019,Validar solicitud / pre-homologacion,19019,Fluxicon Disco,Variant 37,37,2016-03-16T22:21:45.000,2016-03-16T22:21:45.000
End,101551,End,End,End,Fluxicon Disco,Variant 37,37,2016-03-16T22:21:45.000,2016-03-16T22:21:45.000
Start,101552,Start,Start,Start,Fluxicon Disco,Variant 37,37,2016-03-15T12:03:22.000,2016-03-15T12:03:22.000
Traer informacion estudiante - banner,101552,7492,Traer informacion estudiante - banner,7492,Fluxicon Disco,Variant 37,37,2016-03-15T12:03:22.000,2016-03-15T12:03:22.000
Radicar Solicitud Homologacion,101552,7492,Radicar Solicitud Homologacion,7492,Fluxicon Disco,Variant 37,37,2016-03-15T12:03:23.000,2016-03-15T12:03:23.000
Validar solicitud,101552,19019,Validar solicitud,19019,Fluxicon Disco,Variant 37,37,2016-03-15T12:21:37.000,2016-03-15T12:07:13.000
Homologacion por grupo de cursos,101552,19019,Homologacion por grupo de cursos,19019,Fluxicon Disco,Variant 37,37,2016-03-16T22:24:01.000,2016-03-16T22:24:01.000
Validar solicitud / pre-homologacion,101552,19019,Validar solicitud / pre-homologacion,19019,Fluxicon Disco,Variant 37,37,2016-03-16T22:24:02.000,2016-03-16T22:24:02.000
End,101552,End,End,End,Fluxicon Disco,Variant 37,37,2016-03-16T22:24:02.000,2016-03-16T22:24:02.000
Start,101751,Start,Start,Start,Fluxicon Disco,Variant 14,14,2016-03-15T19:59:32.000,2016-03-15T19:59:32.000
Radicar Solicitud Homologacion,101751,410,Radicar Solicitud Homologacion,410,Fluxicon Disco,Variant 14,14,2016-03-15T19:59:40.000,2016-03-15T19:59:32.000
End,101751,End,End,End,Fluxicon Disco,Variant 14,14,2016-03-15T19:59:40.000,2016-03-15T19:59:40.000
Start,101801,Start,Start,Start,Fluxicon Disco,Variant 7,7,2016-03-15T21:09:17.000,2016-03-15T21:09:17.000
Traer informacion estudiante - banner,101801,9335,Traer informacion estudiante - banner,9335,Fluxicon Disco,Variant 7,7,2016-03-15T21:09:17.000,2016-03-15T21:09:17.000
Radicar Solicitud Homologacion,101801,9335,Radicar Solicitud Homologacion,9335,Fluxicon Disco,Variant 7,7,2016-03-15T21:09:48.000,2016-03-15T21:09:25.000
Cancelar Solicitud,101801,9335,Cancelar Solicitud,9335,Fluxicon Disco,Variant 7,7,2016-03-16T02:44:58.000,2016-03-15T21:33:19.000
Validar solicitud,101801,920,Validar solicitud,920,Fluxicon Disco,Variant 7,7,2016-03-15T21:35:45.000,2016-03-15T21:33:19.000
Notificacion estudiante cancelacion soli,101801,9335,Notificacion estudiante cancelacion soli,9335,Fluxicon Disco,Variant 7,7,2016-05-17T22:12:19.000,2016-05-17T22:12:19.000
End,101801,End,End,End,Fluxicon Disco,Variant 7,7,2016-05-17T22:12:19.000,2016-05-17T22:12:19.000
Start,101802,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-03-15T21:32:06.000,2016-03-15T21:32:06.000
